n k d
32 0 0
100 28 4
72 22 4
52 2 6
52 2 6
100 28 4
52 2 4
32 0 0
52 2 6
72 0 0
128 56 4
72 0 0
200 128 4
20 2 4
32 0 0
100 28 4
164 92 4
72 0 0
52 2 4
128 56 4
72 0 0
100 28 4
32 0 0
128 56 4
52 2 4
128 56 4
100 28 4
72 22 4
20 2 4
128 56 4
100 28 4
72 22 4
128 56 4
128 56 4
52 2 6
100 28 4
128 56 4
100 50 4
52 2 4
164 92 4
52 2 6
100 28 4
200 128 4
100 28 4
100 28 4
72 22 4
72 0 0
32 0 0
100 28 4
100 28 4
100 28 4
72 22 4
72 0 0
100 28 4
128 56 4
100 28 4
20 2 4
52 2 4
100 28 4
32 0 0
100 28 4
52 2 4
128 56 4
128 56 4
200 128 4
100 50 4
20 2 4
72 0 0
8 0 0
100 28 4
100 28 4
100 28 4
32 0 0
128 56 4
52 2 6
20 2 4
72 0 0
32 0 0
8 0 0
52 2 6
100 28 4
72 0 0
72 22 4
72 0 0
52 2 4
52 20 4
72 22 4
100 28 4
52 2 6
72 22 4
32 0 0
32 0 0
72 22 4
100 28 4
72 22 4
72 22 4
8 0 0
32 0 0
72 22 4
128 56 4
72 22 4
72 0 0
32 0 0
8 0 0
72 22 4
128 56 4
72 22 4
72 0 0
72 22 4
164 92 4
32 0 0
32 0 0
72 0 0
100 28 4
72 22 4
128 56 4
100 28 4
164 92 4
72 22 4
72 0 0
52 2 4
128 56 4
128 56 4
100 28 4
72 0 0
100 28 4
200 128 4
72 0 0
72 22 4
164 92 4
32 0 0
72 0 0
72 22 4
100 28 4
72 22 4
128 56 4
52 2 6
72 4 4
128 56 4
32 0 0
100 28 4
52 2 4
32 0 0
52 2 4
20 2 4
72 22 4
100 50 4
52 2 4
72 4 6
72 0 0
72 22 4
